audio_id,transcript,filler_type
audio_93,I believe Python is a very versatile programming language.,none
audio_94,The main challenge was debugging the memory like leak in the code.,filler
audio_95,hmm I enjoy working in hmm teams and learning new technologies. ... (long pause),filler+pause
audio_96,I think the project was you know successful like because we followed agile practices.,filler
audio_97,I improved um the algorithm to optimize runtime um performance.,filler
audio_98,The best way to grow is by constantly practicing and learning.,none
audio_99,like I think the project was successful because we followed agile practices. ... (long pause),filler+pause
audio_100,I believe Python is a very versatile programming language.,none
audio_101,I think the project was successful because we followed uh agile practices.,filler
audio_102,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_103,Machine hmm learning is exciting because of its real-world applications.,filler
audio_104,The main challenge was debugging the memory leak in the code.,none
audio_105,I learned C++ during my first year and applied it in projects.,none
audio_106,Machine learning like is exciting because of its real-world applications.,filler
audio_107,The main uh challenge you know was debugging the memory leak in the code. ... (long pause),filler+pause
audio_108,I like think hmm the project was successful because we followed agile practices.,filler
audio_109,Machine learning is exciting because of its real-world um applications. ... (long pause),filler+pause
audio_110,I learned C++ during my first year uh and applied it in projects.,filler
audio_111,like Working on group projects has helped me develop leadership skills. ... (long pause),filler+pause
audio_112,Machine learning is exciting hmm because of its real-world applications. ... (long pause),filler+pause
audio_113,My uh internship taught me um valuable lessons about time management.,filler
audio_114,I learned uh C++ during my first year and applied it in projects. ... (long pause),filler+pause
audio_115,The main challenge was debugging the memory leak in the code. ... (long pause),pause
audio_116,Working hmm on group projects has um helped me develop leadership skills.,filler
audio_117,My hmm internship taught me valuable lessons about time management.,filler
audio_118,The best way to grow is by constantly um practicing and learning.,filler
audio_119,My internship taught me like valuable lessons uh about time management.,filler
audio_120,I think the project was successful because um we followed agile practices.,filler
audio_121,I you know improved the algorithm um to optimize runtime performance.,filler
audio_122,uh Machine learning is uh exciting because of its real-world applications.,filler
audio_123,My internship taught me valuable lessons about time management.,none
audio_124,The best way to you know grow is by constantly practicing and learning.,filler
audio_125,Machine learning is exciting you know because of its real-world applications.,filler
audio_126,uh The main challenge was debugging the memory hmm leak in the code.,filler
audio_127,The main challenge was uh debugging the like memory leak in the code.,filler
audio_128,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_129,I improved the algorithm to optimize runtime performance.,none
audio_130,The best way to grow is by constantly practicing and you know learning.,filler
audio_131,I think the project was successful because we followed agile practices.,none
audio_132,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_133,I think you know the project was successful um because we followed agile practices.,filler
audio_134,The main uh challenge was debugging the memory leak in the code.,filler
audio_135,Machine you know learning is exciting because of its real-world applications. ... (long pause),filler+pause
audio_136,The main challenge was debugging the like memory leak in the uh code.,filler
audio_137,I think the project was successful because we followed agile practices.,none
audio_138,The main challenge was debugging the memory uh leak in the code.,filler
audio_139,My internship taught like me valuable lessons about time you know management.,filler
audio_140,Machine learning is exciting because of its real-world hmm applications.,filler
audio_141,I learned C++ during my first year and applied it in projects.,none
audio_142,My internship taught me valuable lessons about time management.,none
audio_143,The best way to like grow is by constantly practicing and hmm learning.,filler
audio_144,My internship taught me valuable lessons about time management.,none
audio_145,I think the project was successful because we followed agile practices.,none
audio_146,I like improved the algorithm to uh optimize runtime performance.,filler
audio_147,Machine learning is hmm exciting because of its real-world applications.,filler
audio_148,Working on like group projects has helped me develop leadership skills.,filler
audio_149,The best way to grow is by constantly practicing like and learning.,filler
audio_150,I learned C++ during my first year and applied it in projects.,none
